name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Ascomycota	4890	phylum	24338055	7946	57	0.0
Saccharomycetales	4892	order	11252306	1162	0	0.0
Saccharomycetaceae	4893	family	11252306	329	0	0.0
Schizosaccharomycetaceae	4894	family	0	3	0	0.0
Schizosaccharomyces	4895	genus	0	90	0	0.0
Pichia_kudriavzevii	4909	species	10812555	22351	745	0.0
Kluyveromyces	4910	genus	10966467	58	0	0.0
Pichia	4919	genus	0	180	0	0.0
Saccharomyces	4930	genus	12058584	73	0	0.0
Saccharomyces_cerevisiae	4932	species	12157105	19	0	0.0
Yarrowia	4951	genus	0	52	0	0.0
Yarrowia_lipolytica	4952	species	20500066	10047	3292	0.0
Kwoniella_dendrophila	4975	species	23026020	18	0	0.0
Brettanomyces_bruxellensis	5007	species	13150648	117	52	0.0
Eurotiales	5042	order	0	3367	0	0.0
Aspergillus	5052	genus	0	1919	0	0.0
Aspergillus_flavus	5059	species	37749288	3385	730	0.0
Penicillium	5073	genus	0	17	0	0.0
Talaromyces	5094	genus	0	7	0	0.0
Hypocreales	5125	order	50358849	1818	0	0.0
Hypocreaceae	5129	family	0	210	0	0.0
Sordariales	5139	order	37828236	1950	0	0.0
Sordaria	5146	genus	0	371	0	0.0
Sordaria_macrospora	5147	species	39444728	12753	4999	0.0
Sordariaceae	5148	family	0	6	0	0.0
Helotiales	5178	order	42630066	6504	0	0.0
Basidiomycota	5204	phylum	21319450	343	0	0.0
Cryptococcus	5206	genus	17002451	546	0	0.0
Cryptococcus_depauperatus	5208	species	16179376	33	0	0.0
Tremellales	5234	order	21319450	2642	0	0.0
Ceratobasidiaceae	5250	family	0	33	0	0.0
Pucciniales	5258	order	0	3887	0	0.0
Pucciniaceae	5262	family	0	1030	0	0.0
Puccinia	5296	genus	0	556	0	0.0
Ascochyta	5453	genus	0	1238	0	0.0
Ascochyta_rabiei	5454	species	40901820	52910	11378	0.0
Colletotrichum	5455	genus	0	4993	0	0.0
Fulvia_fulva	5499	species	67169167	4999	1144	0.0
Coccidioides	5500	genus	28193268	114	0	0.0
Fusarium	5506	genus	50358849	21	0	0.0
Metarhizium	5529	genus	0	129	0	0.0
Trichoderma	5543	genus	0	1369	0	0.0
Alternaria	5598	genus	0	1	0	0.0
Vairimorpha_necatrix	6039	species	15005441	421	116	0.0
Primates	9443	order	0	12468	0	0.0
Hominidae	9604	family	0	2684	0	0.0
Homo	9605	genus	0	4506	0	0.0
Homo_sapiens	9606	species	3117275501	752230	277467	1
Brettanomyces	13366	genus	0	76	0	0.0
Brettanomyces_nanus	13502	species	10186858	9141	152	0.0
Metschnikowiaceae	27319	family	0	7	0	0.0
Pleosporaceae	28556	family	0	1	0	0.0
Trichocomaceae	28568	family	0	43	0	0.0
Sclerotiniaceae	28983	family	42630066	1344	0	0.0
Kluyveromyces_lactis	28985	species	10729447	970	262	0.0
Cercospora	29002	genus	0	49	0	0.0
Onygenales	33183	order	28193268	2037	0	0.0
Onygenaceae	33184	family	28193268	295	0	0.0
Botrytis	33196	genus	42630066	423	0	0.0
Schizosaccharomycetales	34346	order	0	169	0	0.0
Clavicipitaceae	34397	family	0	88	0	0.0
Colletotrichum_destructivum	34406	species	51785203	106937	28208	0.0
Chaetomiaceae	35718	family	37828236	5853	0	0.0
Cantharellales	36064	order	0	705	0	0.0
Penicillium_digitatum	36651	species	26336737	1885	608	0.0
Lodderomyces	36913	genus	0	930	0	0.0
Lodderomyces_elongisporus	36914	species	16086460	12592	3601	0.0
